날짜,갈비_냉동_미국산,갈비_냉동_호주산,갈비살_냉장_,갈비살_냉장_호주산,척아이롤_냉장_미국산,척아이롤_냉장_호주산,척아이롤_냉동_미국산,척아이롤_냉동_호주산,양지_냉장_미국산,양지_냉장_호주산
Jan-18,2407,1972,2642,,,,,,,
Feb-18,2445,1961,2332,,,,,,,
Mar-18,2443,1956,2196,,,,,,,
Apr-18,2451,2036,1923,,,,,,,
May-18,2454,2082,1989,,,,,,,
Jun-18,2456,2084,2076,,,,,,,
Jul-18,2401,1955,2091,,,,,,,
Aug-18,2384,1981,2241,,,,,,,
Sep-18,2407,1989,2246,,,,,,,
Oct-18,2435,2000,2257,,,,,,,
Nov-18,2436,2001,2178,,,,,,,
Dec-18,2436,2005,2092,,,,,,,
Jan-19,2478,2051,2186,,,,,,,
Feb-19,2506,2085,2092,,,,,,,
Mar-19,2528,2088,2413,,,,,,,
Apr-19,2499,2104,2431,,,,,,,
May-19,2481,2100,2385,,,,,,,
Jun-19,2459,2154,2131,,,,,,,
Jul-19,2447,2161,1981,,,,,,,
Aug-19,2502,2238,1906,,,,,,,
Sep-19,2572,2333,2205,,,,,,,
Oct-19,2576,2320,2603,,,,,,,
Nov-19,2539,2293,2853,,,,,,,
Dec-19,2515,2357,3041,,,,,,,
Jan-20,2514,2364,3100,,,,,,,
Feb-20,2517,2370,2995,,,,,,,
Mar-20,2517,2382,2984,,,,,,,
Apr-20,2411,2248,3160,,,,,,,
May-20,2492,2358,3167,,,,,,,
Jun-20,2396,2382,3163,,,,,,,
Jul-20,2363,2271,3058,,,,,,,
Aug-20,2490,2403,3048,,,,,,,
Sep-20,2478,2412,2945,,,,,,,
Oct-20,2468,2388,3122,,,,,,,
Nov-20,2470,2421,3052,,,,,,,
Dec-20,2472,2421,2725,,,,,,,
Jan-21,2475,2469,3040,,,,,,,
Feb-21,2462,2457,3041,,,,,,,
Mar-21,2452,2401,2984,,,,,,,
Apr-21,2446,2394,2927,,,,,,,
May-21,2452,2414,2831,,,,,,,
Jun-21,2493,2447,2671,,,,,,,
Jul-21,2562,2493,2738,,,,,,,
Aug-21,2577,2477,2775,,,,,,,
Sep-21,2609,2457,2790,,,,,,,
Oct-21,2682,2584,2951,,,,,,,
Nov-21,2795,2622,3104,,,,,,,
Dec-21,2934,2717,3103,,,,,,,
Jan-22,4094,3456,3870,,,,,,,
Feb-22,4098,3727,3737,,,,,,,
Mar-22,4165,3934,3832,,,,,,,
Apr-22,4282,4248,4153,4996,,,,,,
May-22,4404,4413,4425,4993,,,,,,
Jun-22,4379,4568,4493,4980,,,,,,
Jul-22,4277,4447,4385,,,,,,,
Aug-22,4284,4487,4311,,,,,,,
Sep-22,4271,4393,4362,,,,,,,
Oct-22,4340,4427,4393,4992,,,,,,
Nov-22,4232,4486,4549,4981,,,,,,
Dec-22,4139,4474,4259,4981,,,,,,
Jan-23,4098,4275,4373,5000,,,,,,
Feb-23,3905,4188,4429,4996,,,,,,
Mar-23,3689,4062,4402,,,,,,,
Apr-23,3712,3962,4366,,,,,,,
May-23,3734,4027,4465,,,,,,,
Jun-23,3620,3914,4480,,2890,2580,2749,,,1992
Jul-23,3884,4179,4357,4498,2658,2587,2719,2438,3060,2407
Aug-23,4023,4232,4334,4421,3499,2627,2576,2236,3039,2583
Sep-23,3957,3945,4412,4138,3217,2500,2567,2148,3015,2781
Oct-23,4038,4019,4333,4253,3333,2580,2491,2144,3024,2720
Nov-23,4128,3934,4174,3811,3214,2448,2527,2491,3006,2667
Dec-23,4150,3955,4223,3976,3173,2526,2458,2650,2958,2888
Jan-24,4054,4110,4288,4323,3028,2681,2507,2399,2991,3355
Feb-24,4107,4262,4354,4159,2974,2875,2827,2305,2220,3389
Mar-24,4174,4317,4235,4358,2781,2918,2612,2273,3174,3273
Apr-24,3982,4014,3889,4448,2784,2749,2587,2160,2846,3347
May-24,4049,4035,4237,4051,2777,2800,2754,2469,2797,3418
Jun-24,4020,3969,4349,4492,2893,2940,2854,2342,2028,3453
Jul-24,4192,4130,4397,4480,2942,2739,2940,2287,2033,3626
Aug-24,4270,4092,4474,4526,2943,2495,2966,2269,1820,3381
Sep-24,4147,4063,4473,4601,3160,2742,3121,2371,,3421
Oct-24,4304,4380,4403,4699,3088,2835,3439,2512,,3648
Nov-24,4391,4430,4453,3709,2916,2888,3204,2181,,3644
Dec-24,4471,4358,4231,4629,3162,3209,3035,2087,2810,3681
Jan-25,4371,4333,4498,4874,3050,3238,3164,2222,2590,3800
Feb-25,4535,4500,4614,3992,2861,3280,3212,2185,,3811
Mar-25,4568,4427,4292,4507,2730,3194,3296,2047,,3819
Apr-25,4685,4482,4113,4691,3228,3158,2609,2006,,3897
May-25,4612,4500,4526,3734,3326,3167,2589,2224,3425,3907
Jun-25,4530,4373,4585,4641,3364,2965,2773,2251,,3872
Jul-25,4342,4047,4648,4523,3327,3010,2677,2275,,3761
Aug-25,4315,4131,4910,4280,3289,3231,2721,2286,,3899
Sep-25,4288,4120,5081,4921,3677,3290,2570,2313,,3846
Oct-25,4435,4314,4981,4948,3781,3407,2767,2395,,3885
Nov-25,4426,4319,4934,5533,3833,3393,2782,2422,,3978
Dec-25,4488,4317,4861,5353,3889,3519,2776,2400,,3820
Jan-26,4428,4300,4852,5464,3737,3571,2841,2388,,3832
