col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
소고기,냉동,갈비,미국,"80,246,513.521","77,893,975.748","2,736,054.072","3,001,242.343","1,441,317.613","7,178,614.028","85,072,589.776"
소고기,냉동,등심,미국,"3,985,130.09","2,911,156.048","90,033.21","5,261.64","20,624.01","115,918.86","3,027,074.908"
소고기,냉동,목심,미국,"9,522,211.81","7,016,621.903","439,831.98","666,087.14","458,908.309","1,564,827.429","8,581,449.332"
소고기,냉동,사태,미국,"1,219,855.64","1,029,846.41","28,182.76","9,796.4","22,595","60,574.16","1,090,420.57"
소고기,냉동,설도,미국,"681,421.34","799,009.64","87,653.99","24,278.82",0,"111,932.81","910,942.45"
소고기,냉동,안심,미국,"199,704.25","205,762.64","22,601",652.73,0,"23,253.73","229,016.37"
소고기,냉동,앞다리,미국,"11,727,874.42","8,531,189.73","135,480.26","136,194.65","66,512.46","338,187.37","8,869,377.1"
소고기,냉동,양지,미국,"41,396,364.55","41,598,484.16","1,083,012.96","934,398.947","798,641.799","2,816,053.706","44,414,537.866"
소고기,냉동,우둔,미국,"626,243.04","12,285.14",0,0,0,0,"12,285.14"
소고기,냉동,채끝,미국,"89,051.93","57,887.45",862.43,"5,192.14",13.4,"6,067.97","63,955.42"
소고기,냉동,기타,미국,"7,947",0,0,0,0,0,0
2025-12-28,소고기,냉동,갈비,미국,"80,246,513.521","77,893,975.748","2,736,054.072","3,001,242.343","1,441,317.613","7,178,614.028","85,072,589.776"
2025-12-28,소고기,냉동,등심,미국,"3,985,130.09","2,911,156.048","90,033.21","5,261.64","20,624.01","115,918.86","3,027,074.908"
2025-12-28,소고기,냉동,목심,미국,"9,522,211.81","7,016,621.903","439,831.98","666,087.14","458,908.309","1,564,827.429","8,581,449.332"
2025-12-28,소고기,냉동,사태,미국,"1,219,855.64","1,029,846.41","28,182.76","9,796.4","22,595","60,574.16","1,090,420.57"
2025-12-28,소고기,냉동,설도,미국,"681,421.34","799,009.64","87,653.99","24,278.82",0,"111,932.81","910,942.45"
2025-12-28,소고기,냉동,안심,미국,"199,704.25","205,762.64","22,601",652.73,0,"23,253.73","229,016.37"
2025-12-28,소고기,냉동,앞다리,미국,"11,727,874.42","8,531,189.73","135,480.26","136,194.65","66,512.46","338,187.37","8,869,377.1"
2025-12-28,소고기,냉동,양지,미국,"41,396,364.55","41,598,484.16","1,083,012.96","934,398.947","798,641.799","2,816,053.706","44,414,537.866"
2025-12-28,소고기,냉동,우둔,미국,"626,243.04","12,285.14",0,0,0,0,"12,285.14"
2025-12-28,소고기,냉동,채끝,미국,"89,051.93","57,887.45",862.43,"5,192.14",13.4,"6,067.97","63,955.42"
2025-12-28,소고기,냉동,기타,미국,"7,947",0,0,0,0,0,0
